정비사업_매칭키,사업코드,순번,자치구,구역명,위치_지번주소,위치_도로명주소,공공민간,일반재촉,사업유형,추진단계,기존가구수,구역지정_최초,구역지정_변경최종,추진위원회승인일,조합설립인가일,건축심의일,사업시행인가_최초,사업시행인가_변경최종,관리처분인가_최초,관리처분인가_변경최종,이주개시일,이주완료일,착공일,공급세대수_합계,공급세대수_분양,공급세대수_임대
송파구|마천1,1326,447,송파구,마천1,마천동194-1,성내천로34길12,민간,재촉,주택정비형 재개발,조합설립,2749,2020-01-02,2026-05-28,2020-11-26,2022-05-25,,,,,,,,,3113,2416,697
송파구|마천2,1769,448,송파구,마천2,마천동183,마천로51길16-15,민간,재촉,주택정비형 재개발,추진위,1592,2012-07-26,2025-05-15,2020-11-26,,,,,,,,,,1729,1273,456
송파구|마천3,1327,449,송파구,마천3,마천동283,성내천로49길2-1,민간,재촉,주택정비형 재개발,사업시행,3036,2017-06-01,2022-10-20,2018-05-03,2020-06-22,2024-04-30,2026-03-31,,,,,,,2364,1969,395
송파구|마천4,1328,450,송파구,마천4,마천동323,마천로61마길12-10,민간,재촉,주택정비형 재개발,관리처분,1219,2012-07-26,2025-02-27,2014-04-17,2015-07-24,2019-02-26,2021-04-02,,2024-01-30,2024-06-13,2024-09-01,2025-11-30,,1254,968,286
송파구|가락1차현대,1337,451,송파구,가락1차현대,문정동3,동남로160,민간,일반,공동주택재건축,사업시행,514,2017-11-16,2023-06-29,2018-07-06,2019-07-19,2023-02-28,2025-01-24,,,,,,,942,782,160
송파구|가락극동,1338,452,송파구,가락극동,가락동192,동남로18길9,민간,일반,공동주택재건축,건축심의,555,2017-11-23,2024-11-28,2018-07-03,2020-06-26,2025-12-29,,,,,,,,999,876,123
송파구|잠실우성4차,1333,453,송파구,잠실우성4차,잠실동320,백제고분로18길30,민간,일반,공동주택재건축,관리처분,555,2017-07-06,2023-08-24,2009-12-07,2018-04-02,2022-12-13,2023-08-31,,2025-12-31,,,,,825,732,93
은평구|불광1,1435,454,은평구,불광1,불광동19-3,불광로146,민간,일반,단독주택재건축,사업시행,302,2012-09-27,2024-05-23,2006-09-04,2020-08-27,2023-12-21,2024-12-26,,,,,,,499,499,0
송파구|가락상아1차,1339,455,송파구,가락상아1차,오금동166,오금로405,민간,일반,공동주택재건축,관리처분,226,2017-12-29,2021-10-14,2019-01-28,2020-06-19,2021-05-25,2022-05-20,,2025-01-16,,2025-07-01,2025-10-31,,405,342,63
송파구|가락우성1차,2236,456,송파구,가락우성1차,가락동96-1,송파대로32길8,민간,일반,공동주택재건축,조합설립,838,2024-02-29,2024-02-29,2024-12-24,2026-03-12,,,,,,,,,967,875,92
송파구|가락우창,2718,457,송파구,가락우창,오금동164,동남로24길6,민간,일반,공동주택재건축,조합설립,264,2025-10-02,2025-10-02,2026-02-05,2026-03-12,,,,,,,,,471,399,72
송파구|가락프라자,1334,458,송파구,가락프라자,가락동199,문정로125,민간,일반,공동주택재건축,관리처분,672,2017-07-20,2025-07-17,2017-12-01,2019-03-28,2026-03-05,2024-01-11,,2025-03-14,2025-03-14,2025-09-30,2025-12-31,,1068,953,115
송파구|거여새마을,2105,459,송파구,거여새마을,거여동551-14,오금로68길17,공공,재촉,주택정비형 재개발,사업시행,1775,2023-01-12,2023-01-12,,2023-02-23,2025-09-30,2026-02-12,,,,,,,1678,1207,471
송파구|대림가락,1949,460,송파구,대림가락,방이동217,양재대로1109,민간,일반,공동주택재건축,건축심의,480,2021-10-07,2021-10-07,2022-04-08,2023-02-09,2026-04-16,,,,,,,,890,757,133
송파구|마천5,2094,461,송파구,마천5,마천동45,거마로24길11,민간,재촉,주택정비형 재개발,조합설립,1618,2024-09-12,2024-09-12,2025-04-22,2026-01-08,,,,,,,,,2041,1633,408
서대문구|북아현2,1160,462,서대문구,북아현2,북아현동520,북아현520번지일대,민간,재촉,주택정비형 재개발,관리처분,4086,2008-02-05,2008-02-05,2008-02-29,2009-03-27,2020-11-10,2009-12-08,2022-03-17,2026-04-23,,,,,2320,1919,401
송파구|송파미성,1948,463,송파구,송파미성,송파동161,오금로32길10,민간,일반,공동주택재건축,조합설립,378,2021-03-25,2021-03-25,2022-01-27,2023-05-31,,,,,,,,,773,653,120
송파구|오금현대,2235,464,송파구,오금현대,오금동43,오금로35길17,민간,일반,공동주택재건축,조합설립,1316,2024-07-25,2024-07-25,2025-03-19,2026-01-21,,,,,,,,,2436,2029,407
"송파구|잠실우성1,2,3차",1332,465,송파구,"잠실우성1,2,3차",잠실동101-1,올림픽로4길42,민간,일반,공동주택재건축,건축심의,1842,2015-12-01,2024-01-11,2006-10-04,2021-06-11,2026-05-28,,,,,,,,2646,2328,318
동대문구|장안현대,1115,466,동대문구,장안현대,장안동95-1,한천로244,민간,일반,공동주택재건축,관리처분,456,2017-09-14,2022-12-01,2018-06-12,2020-07-10,2022-06-14,2024-08-13,2024-08-13,2026-06-18,2026-06-18,,,,746,641,105
송파구|잠실주공5단지,1342,467,송파구,잠실주공5단지,잠실동27,송파대로567,민간,일반,아파트지구재건축,건축심의,3930,2005-12-15,2025-12-11,2003-12-29,2013-12-19,2025-06-19,,,,,,,,6411,5580,831
"송파구|장미1,2,3차",1340,468,송파구,"장미1,2,3차",신천동7,올림픽로35길104,민간,일반,아파트지구재건축,조합설립,3522,2005-12-25,,2016-06-28,2020-03-24,,,,,,,,,5105,4554,551
송파구|풍납미성,2237,469,송파구,풍납미성,풍납동219,풍성로14,민간,일반,공동주택재건축,추진위,275,2026-04-02,2026-04-02,2026-01-08,,,,,,,,,,444,402,42
송파구|한양2차,1341,470,송파구,한양2차,송파동151,가락로192,민간,일반,아파트지구재건축,조합설립,744,2005-12-15,2025-05-01,2010-07-26,2020-11-02,,,,,,,,,1346,1092,254
송파구|한양3차,1343,471,송파구,한양3차,방이동225,양재대로1089,민간,일반,공동주택재건축,관리처분,252,2019-08-29,2023-09-27,2020-01-29,2021-03-03,2022-12-20,2024-05-14,,2026-06-17,,,,,507,430,77
강동구|천호8,1736,472,강동구,천호8,천호동166-4,진황도로36,민간,재촉,도시정비형 재개발,건축심의,196,2006-10-19,2021-11-04,2022-08-04,2024-01-16,2025-09-30,,,,,,,,520,363,157
강동구|명일신동아,2370,473,강동구,명일신동아,명일동44,고덕로240,민간,일반,공동주택재건축,추진위,570,2025-11-06,,2026-04-15,,,,,,,,,,0,0,0
강동구|명일우성,2374,474,강동구,명일우성,명일동42,고덕로62길58,민간,일반,공동주택재건축,추진위,572,,,2026-06-24,,,,,,,,,,0,0,0
강동구|명일한양아파트,2384,475,강동구,명일한양아파트,명일동54,동남로71길19,민간,일반,공동주택재건축,추진위,540,,,2026-06-24,,,,,,,,,,0,0,0
강동구|명일동고덕현대,2194,476,강동구,명일동고덕현대,명일동56,,민간,일반,공동주택재건축,추진위,524,2025-11-06,,2026-04-17,,,,,,,,,,0,0,0
강동구|삼익그린2차,1041,477,강동구,삼익그린2차,명일동15,고덕로210,민간,일반,아파트지구재건축,조합설립,2400,2018-10-17,2018-10-17,2019-12-13,2021-07-05,,,,,,,,,0,0,0
강동구|삼익맨션,1039,478,강동구,삼익맨션,명일동270,상암로214,민간,일반,공동주택재건축,조합설립,768,2020-02-13,2022-11-16,2020-08-27,2021-07-12,,,,,,,,,1169,1014,155
동대문구|신설1,1112,479,동대문구,신설1,신설동92-5,하정로6길14,공공,일반,주택정비형 재개발,사업시행,121,2008-10-30,2024-08-08,,2021-07-22,2024-08-20,2025-03-20,,,,,,,299,189,110
강동구|상일동대림빌라,2483,480,강동구,상일동대림빌라,상일동178,상암로355,민간,일반,공동주택재건축,추진위,108,,,2026-03-13,,,,,,,,,,0,0,0
강동구|상일동삼성빌라,2571,481,강동구,상일동삼성빌라,상일동173,상암로315,민간,일반,공동주택재건축,추진위,132,,,2026-03-13,,,,,,,,,,0,0,0
강동구|상일동우성타운,2369,482,강동구,상일동우성타운,상일동174,상암로331,민간,일반,공동주택재건축,추진위,105,,,2026-03-13,,,,,,,,,,0,0,0
강동구|상일동현대빌라,2368,483,강동구,상일동현대빌라,상일동172,상암로305,민간,일반,공동주택재건축,추진위,84,,,2026-03-13,,,,,,,,,,0,0,0
강동구|천호3-1,2070,484,강동구,천호3-1,천호동214-19,,민간,일반,주택정비형 재개발,추진위,285,2025-09-04,,2026-05-13,,,,,,,,,,390,390,0
강동구|천호3-2,1843,485,강동구,천호3-2,천호동397-419,구천면로244-10,민간,일반,주택정비형 재개발,건축심의,307,2022-07-21,2022-07-21,2023-04-07,2024-04-26,2026-01-15,,,,,,,,420,343,77
강동구|천호3-3,2068,486,강동구,천호3-3,천호동532-2,,민간,일반,주택정비형 재개발,조합설립,193,2023-07-27,2023-07-27,2024-02-20,2024-12-02,,,,,,,,,568,461,107
강동구|천호A1-1,2102,487,강동구,천호A1-1,천호동467-61,선사로6길12,공공,일반,주택정비형 재개발,조합설립,581,2024-11-28,,,2024-12-18,,,,,,,,,747,480,267
강동구|천호A1-2,2095,488,강동구,천호A1-2,천호동461-31,,민간,일반,주택정비형 재개발,조합설립,630,2024-03-14,,,2025-09-15,,,,,,,,,781,645,136
영등포구|신길13,2126,489,영등포구,신길13,신길동340-1,신길로23길20,공공,재촉,공동주택재건축,사업시행,167,2007-11-29,2007-11-29,2020-03-19,2021-03-11,2024-10-11,2025-11-24,,,,,,,586,476,110
도봉구|쌍문2구역,2887,490,도봉구,쌍문2구역,쌍문2동 81번지,쌍문4동 137번지 일대,민간,일반,주택정비형 재개발,추진위,1208,2026-04-02,,2026-06-18,,,,,,,,,,1919,1594,325
"종로구|효제1,2,3구역",2886,491,종로구,"효제1,2,3구역",효제동 292-2,,민간,일반,도시정비형 재개발,구역지정,0,2026-03-19,2026-04-30,,,,,,,,,,,0,0,0
구로구|개봉 7구역,2522,492,구로구,개봉 7구역,개봉동 49번지,고척로21가길 84-15,민간,일반,주택정비형 재개발,구역지정,709,2026-04-09,,,,,,,,,,,,1364,1144,220
용산구|효창공원앞역세권,2890,493,용산구,효창공원앞역세권,효창동 5-307,백범로 47가길 7,민간,일반,도시정비형 재개발,추진위,1625,2026-04-16,2026-04-16,2026-04-03,,,,,,,,,,2993,1800,1193
동작구|남성역A 역세권 활성화,2891,494,동작구,남성역A 역세권 활성화,사당동 252-15,사당로 219,민간,일반,도시정비형 재개발,구역지정,0,2025-01-09,,,,,,,,,,,,659,492,167
구로구|오류동4번지일대,2523,495,구로구,오류동4번지일대,오류동4,고척로3길 74,민간,일반,주택정비형 재개발,구역지정,1109,2026-04-30,,,,,,,,,,,,1292,1085,207
노원구|태릉우성아파트,2896,496,노원구,태릉우성아파트,공릉동 254,노원로 29,민간,일반,공동주택재건축,구역지정,432,2026-05-28,,,,,,,,,,,,704,617,87

